x,y,z,q1,q2,q3,q4,q5,q6,q7
3.777376403576102049e-01,-3.783003968479136669e-01,7.378392805981761615e-01,1.550777252284245566e+00,2.490931853688747033e-01,-2.353261181007423541e+00,-1.896467340659702794e+00,-2.469744568373112514e+00,1.777673284364856388e+00,-4.140415104198993390e-01
1.092070030761431859e-01,-9.273435708124076748e-02,1.155538382420440380e+00,-4.418652554292279433e-01,3.041224460539240226e-01,-2.186130314939830122e+00,-2.687595012195149735e-01,1.066388296146741244e+00,3.087831939782356372e+00,2.299066339736224318e+00
-7.193487637910366272e-01,2.388075600599348092e-01,4.407286612478943377e-01,4.827563518746194049e-01,-1.620270989532187178e+00,1.225354658938289543e+00,-1.363353411355662237e+00,1.888596145255293290e+00,1.988712824524803136e+00,1.814936288540130338e+00
3.323204902272191008e-01,4.920202697448731732e-01,4.880524834794183198e-01,2.879677638062017042e+00,-5.266448447395621901e-01,-1.906101776520214175e+00,-1.895583926838837696e+00,1.466171641281728721e+00,1.638453844173957119e+00,5.120743540328707155e-01
-4.248059110809007111e-01,1.619830112871015748e-01,1.835612745638128818e-01,-2.159085013685837939e+00,7.968592525313464847e-01,-1.274202563585502102e+00,-2.498956701227541544e+00,2.102932291791029140e+00,2.110271922803518940e+00,-8.981312804582541887e-02
-3.209618829276904561e-01,-4.292753334331421144e-01,5.793505282002809897e-01,2.310784895849719245e+00,-1.458892175321026663e+00,1.136518885275132451e+00,-2.086725148416427977e+00,-1.880675908586440181e+00,2.526316111726674141e+00,-7.948096167001481582e-01
-4.311287598233796980e-02,-6.685730199334259938e-01,4.575929261868741382e-01,-9.855835465301356901e-01,1.563520444667657827e+00,-1.742265414103057131e+00,-1.533966852828957173e+00,-2.757867515310202133e+00,5.987343354951878416e-01,2.221528142672858142e+00
5.730576462750835987e-01,1.398923543281334059e-01,7.853532943476946304e-01,1.675900294576006200e+00,2.002882669502616952e-01,-1.608105023626058561e+00,-1.397199504553459537e+00,-2.826623027697728663e+00,2.670272995005023020e+00,1.255853443186241147e+00
3.673374741892120043e-02,-3.916736828823969008e-01,4.250354804180163648e-01,8.461848665434601457e-01,3.923575233858089817e-01,-2.469886989373429209e+00,-2.331535686878022595e+00,4.309464106794176352e-01,1.468689921162914969e+00,2.850782586400892438e+00
3.502936936493675768e-01,-3.837723309188576515e-01,9.004372243020452027e-01,2.455180600631800214e+00,-1.226324151510579608e+00,5.212316738113811354e-01,-9.816584665835268453e-01,-2.105867457540665733e+00,1.161172993924314500e+00,1.251028005086313843e+00
4.849158444331980178e-01,6.998661109106768530e-04,9.803257550505454221e-01,2.324020293291914729e+00,-5.576989006735793009e-01,-1.512560134460720240e+00,-6.048021998066257510e-01,4.923896492275803283e-01,1.779261761409048681e+00,-1.412866775846791656e+00
3.201773100724524257e-01,-4.517953911589689397e-02,6.711913369829731746e-01,-2.476017527931627882e+00,-1.698950632759059109e+00,4.633472261883651022e-01,-2.497478069346315444e+00,2.755238077004996899e+00,3.880816737873891142e-01,-2.775975604327336477e-01
-1.573196526599783263e-01,5.385030497934077953e-01,5.680958575414127854e-01,-6.103411357708576901e-01,-9.433343610937888757e-01,1.441290670672799923e+00,-1.139242008996988575e+00,1.308040027190533916e+00,2.951055225538886106e-01,-8.532046494550287186e-01
-3.589995649183479465e-01,-3.124162436689933431e-01,3.953193280791005293e-01,1.149128326925388244e-01,-2.582346894946305760e-01,-2.661661846509313811e+00,-2.488723607842719510e+00,2.578472812277005755e+00,5.957252925952564171e-01,2.039791214289319310e+00
1.405150668739288955e-01,-3.865764915961072967e-02,1.156752726710858159e+00,1.866462699619365839e+00,-3.830808000567473837e-01,-1.924562860223373306e-01,-5.981705752425923173e-01,1.046896570353811118e+00,3.137440942601168015e+00,1.492514618311325147e+00
-2.038039799418830400e-01,1.873580163138101329e-01,5.461904142658802197e-01,1.108226951878863442e+00,1.455320749568238536e+00,1.870344529150047119e+00,-2.533632874563437554e+00,1.438211449820733012e+00,3.097019068187118473e-01,-4.295889437364390773e-01
2.532161623795529948e-02,3.118520641768980362e-01,3.971782326500699484e-02,-5.982195658330540233e-01,-1.049559636830392328e+00,2.537222199436921510e+00,-2.786575188238137990e+00,-2.868612789556192588e+00,1.200088509009534343e+00,2.843374897489640230e+00
-4.451879572648790306e-01,-4.863814604316499812e-01,7.101525595806923441e-01,-1.363356426117379172e+00,1.165366591684483755e+00,-1.893979587103423068e+00,-1.311278557250068477e+00,2.656023688029396812e+00,2.683538381078526491e+00,2.784063208184149207e+00
5.643163914866362596e-01,6.298542117731811274e-01,3.762108231455497664e-01,4.319812248218961592e-01,1.703271505894256688e+00,1.952850501785702075e+00,-7.354770734681133071e-01,2.250910404765231743e+00,2.363091528559033261e+00,-8.322238182941448237e-01
-9.370388063984755322e-03,3.876339287658068788e-01,2.462756527850548660e-01,1.638684576902171841e-01,-9.638126056153507593e-01,1.608090653770600564e+00,-2.560594416653785732e+00,4.472849164283063672e-01,2.002803065583681708e+00,9.960048433497386000e-01
-4.061726835037900996e-01,-1.574393585498411463e-01,8.444685489748324780e-01,1.509259352666458387e+00,-1.374966529510784907e+00,7.239079319042964755e-01,-1.828718396721956463e+00,6.616831182601239369e-01,2.598627743119140465e+00,4.952687198970431304e-01
2.144827676451729337e-01,5.105434805861485126e-01,3.658950472080642058e-01,1.349341929319396005e+00,7.056900638917951163e-02,-2.151439139049995397e-01,-2.210406634788945723e+00,-1.569295224039082060e+00,2.603593637860063481e+00,1.133951578195379728e+00
4.175750707027893749e-01,-5.428811271249796011e-01,4.437497958462661984e-02,-1.764374319813600600e+00,1.662755056137559251e+00,9.916476209967606259e-01,-1.476820414247311364e+00,1.976769986851542260e+00,1.816695513119590544e+00,-1.393754226387065032e-01
1.964383964716496511e-01,7.095661981647520822e-01,5.843768161962987762e-01,-1.400558125950751132e+00,-1.211778563579200219e+00,1.226129634036035920e+00,-5.378229843146331568e-01,1.030166120287986598e+00,1.373088296427036337e+00,4.387337965231883352e-01
4.313534060118381919e-02,-2.870235118308375744e-01,1.054531792345661106e-01,3.674118724670978331e-01,1.538458878163411647e+00,-6.508156159287361575e-01,-2.576487261149923658e+00,2.183949183948288297e+00,3.355231704766606704e+00,-2.617349142559018293e+00
3.036634340030628931e-01,-3.753633016273126288e-01,7.563592683468685074e-01,-1.748489965316039063e+00,4.802635952844962475e-01,1.673568831748250663e+00,-1.250315787271608192e+00,-1.786932197642721487e+00,4.263910971632284275e-01,3.460544177367363972e-02
2.878241540916099961e-01,-5.264430919896019301e-01,2.919284890750581951e-01,1.828067296182311896e+00,-9.970552539018272542e-01,-2.461681165907091628e+00,-1.417313967624292737e+00,-1.785611443704334445e+00,2.371200025052121463e-01,1.583295081051108166e+00
4.344032402244206725e-01,2.772170845725456245e-01,4.271045121545502532e-01,1.861186955615482308e+00,-3.582655179298186443e-01,-1.193121569184959929e+00,-2.239360210799689721e+00,-8.055315587505349484e-01,2.157364906905191670e+00,1.611895325836938397e-01
7.000847702482009272e-01,-4.267954152394080186e-02,6.070285350004607228e-01,-8.381068442853973899e-01,4.842715308353513493e-01,1.018396558643583028e+00,-1.395604877126922050e+00,-6.530132621894422229e-01,2.334489585128597167e+00,5.324847259425560253e-01
2.098491344907334466e-01,6.023247500793916381e-02,9.897402522634888289e-01,-9.251635703364189389e-01,-6.935196313711997629e-01,2.650690050377466633e-01,-1.233362441255445807e+00,6.419661551129598465e-01,1.425916455536015093e+00,3.810940184109825601e-01
-1.047843413426310377e-01,-2.335377400763898603e-01,2.284605533958299906e-01,2.814549266328052024e+00,-2.536415948891144190e-01,1.987427256334405090e+00,-2.826947602387822389e+00,2.174072501949224634e+00,3.532290500192141636e+00,-1.379759892142287336e+00
1.291602096928571031e-01,1.708075571786233648e-01,1.074727786818146846e+00,-2.826884397595315512e+00,-5.987835105929129043e-02,-1.838365179104761493e+00,-1.551346058899110147e-01,2.304264733071074378e+00,3.603745955071193663e+00,6.018207969499211885e-01
1.744106161343402794e-01,4.748370634996936235e-01,9.812709281868503552e-02,8.783916583390816157e-02,1.172497701215933663e+00,8.827099072021882264e-01,-2.325078413221897566e+00,2.516253305666052764e+00,1.640227226920087489e+00,1.584984786824078729e+00
-4.266626096532214474e-01,-3.360770670544669381e-01,5.977433350835835713e-01,5.434522791292195620e-03,-1.115852599297530556e+00,-1.182399848427459377e+00,-1.347193282822745752e+00,-2.068445923772758377e+00,3.477798912550787019e-02,-3.830342461164972789e-01
