t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
9.991258046111645141e-03,6.229675209678220416e-01,5.062279961278993989e-02,8.865887917081785585e-02,2.219826841735620879e-02,9.469336706123546860e-03,-4.895191884797318871e-02,1.040314983300608814e-02,3.704078819642105114e-02,1.777007632305364904e-02,2.219826841735620879e-02,9.469336706123546860e-03,-4.895191884797318871e-02
1.099038385072281104e-02,6.229826471652972764e-01,5.062784646321615706e-02,8.867320600438188816e-02,2.686481551548007204e-02,1.145519065084926041e-02,-5.923131075697420089e-02,1.258684333593138027e-02,4.482212123848609148e-02,2.150147810088972461e-02,2.686481551548007204e-02,1.145519065084926041e-02,-5.923131075697420089e-02
1.198950965533397521e-02,6.230007586225585481e-01,5.063426812436666591e-02,8.869039135915658678e-02,3.197844521918638550e-02,1.362881937919393528e-02,-7.057392031421837186e-02,1.497801413331959278e-02,5.334614282680723296e-02,2.558816196201054230e-02,3.197844521918638550e-02,1.362881937919393528e-02,-7.057392031421837186e-02
1.298863545994513938e-02,6.230222127558837641e-01,5.064112695340108189e-02,8.871069609727522121e-02,3.754019701510948048e-02,1.598965238907151115e-02,-8.383191758759628298e-02,1.757657680184297397e-02,6.261344834554964656e-02,3.003009953499728019e-02,3.754019701510948048e-02,1.598965238907151115e-02,-8.383191758759628298e-02
1.398776126455630528e-02,6.230473187734298923e-01,5.064807737726403220e-02,8.873438144960621443e-02,4.355129326953972174e-02,1.853702890802391007e-02,-9.956619995236623555e-02,2.038240908798192100e-02,7.262474688105932663e-02,3.482725732220445097e-02,4.355129326953972174e-02,1.853702890802391007e-02,-9.956619995236623555e-02
1.498688706916746945e-02,6.230764258980748815e-01,5.065428020302923523e-02,8.876170907952415923e-02,5.001318177446751473e-02,2.127012637348230095e-02,-1.177767540869310847e-01,2.339545574021054467e-02,8.338084063744950758e-02,3.997959627824660550e-02,5.001318177446751473e-02,2.127012637348230095e-02,-1.177767540869310847e-01
1.598601287377863361e-02,6.231098832091083173e-01,5.065889640932147442e-02,8.879294115174131419e-02,5.692754482611507572e-02,2.418796739878575214e-02,-1.384635638009474590e-01,2.661570142698065772e-02,9.488264110107752503e-02,4.548707139039963321e-02,5.692754482611507572e-02,2.418796739878575214e-02,-1.384635638009474590e-01
1.698513867838979952e-02,6.231480396004024369e-01,5.066108713436347222e-02,8.882834040618875493e-02,6.429631736198003489e-02,2.728940545541055224e-02,-1.616266095154904880e-01,3.004317918714142013e-02,1.071311752139939427e-01,5.134963126124317268e-02,6.429631736198003489e-02,2.728940545541055224e-02,-1.616266095154904880e-01
1.798426448300096195e-02,6.231912437254162329e-01,5.066001365900004577e-02,8.886817023692986095e-02,7.212170506994840247e-02,3.057311056186204704e-02,-1.872658676535564615e-01,3.367797888818768737e-02,1.201275915299741398e-01,5.756721769390446553e-02,7.212170506994840247e-02,3.057311056186204704e-02,-1.872658676535564615e-01
1.898339028761212785e-02,6.232397926805964827e-01,5.065489890288354252e-02,8.891265202693830749e-02,8.018674700857057747e-02,3.394470905014694562e-02,-2.145303560102100604e-01,3.741786479744695776e-02,1.335078411454469482e-01,6.396474720527661750e-02,8.018674700857057747e-02,3.394470905014694562e-02,-2.145303560102100604e-01
1.998251609222329028e-02,6.232937776844039712e-01,5.064521257172602264e-02,8.896183640607595311e-02,8.827083592741050144e-02,3.730878545958374315e-02,-2.425569911849177474e-01,4.115921008041029117e-02,1.469023687262814848e-01,7.036466150092106353e-02,8.827083592741050144e-02,3.730878545958374315e-02,-2.425569911849177474e-01
2.098164189683445618e-02,6.233532353900866907e-01,5.063048945690199615e-02,8.901572927205882169e-02,9.637209067982092925e-02,4.066278407179683280e-02,-2.713321313558892389e-01,4.490064179362610042e-02,1.603060928900644222e-01,7.676411862434986966e-02,9.637209067982092925e-02,4.066278407179683280e-02,-2.713321313558892389e-01
2.198076770144562209e-02,6.234182048448607683e-01,5.061010686691534699e-02,8.907431920308674089e-02,1.044600282796313145e-01,4.399263959287760817e-02,-3.007435950937876745e-01,4.864900077635113396e-02,1.736614679272899253e-01,8.315820523249414786e-02,1.044600282796313145e-01,4.399263959287760817e-02,-3.007435950937876745e-01
2.297989350605678452e-02,6.234887131723344522e-01,5.058396074956832134e-02,8.913765156184610960e-02,1.124322091280144237e-01,4.725663114155381761e-02,-3.304220405927783544e-01,5.242521798854318099e-02,1.867834250964560405e-01,8.953174522851729822e-02,1.124322091280144237e-01,4.725663114155381761e-02,-3.304220405927783544e-01
2.397901931066795042e-02,6.235647947364169053e-01,5.055153166247342011e-02,8.920572408995339209e-02,1.202188466593243077e-01,5.042560604734003249e-02,-3.600564156120135695e-01,5.624388285146397770e-02,1.995447331160088711e-01,9.587423207717396534e-02,1.202188466593243077e-01,5.042560604734003249e-02,-3.600564156120135695e-01
2.497814511527911632e-02,6.236464676171398214e-01,5.051262226471146810e-02,8.927855390656000423e-02,1.278207109854341827e-01,5.349879179819272412e-02,-3.891687939056241996e-01,6.010526600364722583e-02,2.119458948443833091e-01,1.021857963165423155e-01,1.278207109854341827e-01,5.349879179819272412e-02,-3.891687939056241996e-01
