t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.01300814,-0.00022922,-0.79098974,-0.00015469,-2.22275556,-0.00097722,1.58772391,0.78542518,-0.00031033,-0.02880643,-0.00173973,0.40250204,0.00104106,0.06858030,-0.00132933,0.10202184,-1.20169407,-0.28051296,0.33524398,0.69484144,0.19489731,-0.05838407,0.88153424,2.02249659,0.65974815,-1.78468613,0.80481864,0.23762679,-0.01875398,0.21547664,1.20169407
0.01400877,-0.00022685,-0.79100731,-0.00015981,-2.22235843,-0.00097570,1.58779553,0.78542518,0.00042980,-0.02568287,-0.00333059,0.40133960,0.00147549,0.06889425,-0.00080976,0.10186237,-1.23113357,-0.28351322,0.35129313,0.69501502,0.19642403,-0.05839363,0.94163673,2.12453146,0.77562125,-1.90034605,0.80395988,0.22469166,-0.02213719,0.21544580,1.23113357
0.01500940,-0.00022764,-0.79101731,-0.00015646,-2.22196559,-0.00097722,1.58786989,0.78542973,-0.00030377,-0.02076374,-0.00098463,0.39838269,0.00038073,0.06978934,0.00098184,0.10203843,-1.27110574,-0.28605194,0.36766135,0.69511922,0.19744609,-0.05833147,1.02426096,2.20209227,0.83698704,-1.99027268,0.81407792,0.20765344,-0.03463973,0.21541527,1.27110574
0.01601002,-0.00022625,-0.79102154,-0.00016035,-2.22157497,-0.00097408,1.58794654,0.78542897,0.00037491,-0.01566325,-0.00187271,0.39656413,0.00176617,0.07102956,0.00031418,0.10212659,-1.32454253,-0.28909094,0.38562825,0.69518915,0.19800355,-0.05818190,1.08706634,2.27548670,0.94307822,-2.09582384,0.80658780,0.18802778,-0.02964928,0.21538490,1.32454253
0.01701065,-0.00022721,-0.79103149,-0.00015694,-2.22120028,-0.00097332,1.58801821,0.78543276,0.00010983,-0.01421410,0.00008244,0.38899995,0.00185878,0.07098427,0.00140156,0.10178498,-1.39219313,-0.29329049,0.40645975,0.69527198,0.19822048,-0.05797315,1.16465885,2.40169957,1.00957558,-2.11935930,0.80835598,0.17769029,-0.03715750,0.21535574,1.39219313
0.01801128,-0.00022645,-0.79102615,-0.00015748,-2.22081988,-0.00097181,1.58809244,0.78543200,0.00010616,-0.00808822,-0.00020236,0.38589799,0.00178939,0.07165612,0.00065465,0.10087818,-1.47318326,-0.29893647,0.43148746,0.69542357,0.19829777,-0.05775080,1.23886745,2.46013525,1.10716344,-2.20573645,0.81123032,0.16219564,-0.03158507,0.21532613,1.47318326
0.01901190,-0.00023263,-0.79102968,-0.00015737,-2.22044693,-0.00097256,1.58816548,0.78542428,-0.00195302,-0.00624359,-0.00025715,0.38237632,0.00106645,0.07157527,-0.00223836,0.10011488,-1.56595583,-0.30491720,0.46038027,0.69568081,0.19827341,-0.05755852,1.34364277,2.57748396,1.20198839,-2.28551804,0.81884661,0.15190367,-0.01061572,0.21529708,1.56595583
0.02001253,-0.00023322,-0.79102780,-0.00015287,-2.22006406,-0.00097332,1.58824363,0.78542564,-0.00164562,-0.00363642,0.00101826,0.38039400,0.00055880,0.07345122,-0.00171910,0.10030758,-1.66488613,-0.30996166,0.48987404,0.69599004,0.19796283,-0.05741358,1.41560936,2.68275952,1.27753370,-2.38776993,0.82502609,0.12762389,-0.01397104,0.21526723,1.66488613
0.02101315,-0.00022634,-0.79102158,-0.00015206,-2.21970640,-0.00097500,1.58831815,0.78542862,0.00104255,-0.00044896,0.00039667,0.37287657,0.00048243,0.07330177,-0.00028619,0.10093113,-1.76548484,-0.31463099,0.51842449,0.69626808,0.19737378,-0.05729082,1.45372052,2.78206592,1.37892545,-2.40983811,0.82822746,0.11784689,-0.02380454,0.21523934,1.76548484
0.02201378,-0.00022844,-0.79102197,-0.00014218,-2.21933813,-0.00097683,1.58839526,0.78542885,-0.00034541,-0.00044336,0.00426264,0.37101432,-0.00019580,0.07376261,-0.00044835,0.10085742,-1.86519070,-0.32057239,0.54633518,0.69644909,0.19668977,-0.05716643,1.55180750,2.92221889,1.41865437,-2.51215616,0.83579116,0.10342219,-0.02229395,0.21521060,1.86519070
0.02301441,-0.00022496,-0.79101854,-0.00013878,-2.21897301,-0.00097712,1.58847081,0.78543045,0.00146737,0.00024118,0.00453606,0.36823164,-0.00115015,0.07480186,0.00025650,0.09938817,-1.95751598,-0.32944847,0.57092383,0.69639242,0.19582478,-0.05705122,1.60451824,3.05287080,1.50771304,-2.60115321,0.84519113,0.08505745,-0.02691426,0.21518209,1.95751598
0.02401503,-0.00022382,-0.79101838,-0.00012650,-2.21862171,-0.00097542,1.58854649,0.78543199,0.00086840,0.00049005,0.00684202,0.36429721,-0.00139294,0.07422771,0.00068185,0.09643040,-2.03680930,-0.34153304,0.58966553,0.69601495,0.19466286,-0.05696667,1.69250357,3.19015277,1.56828237,-2.67256156,0.84958595,0.07798252,-0.02955888,0.21515464,2.03680930
0.02501566,-0.00022178,-0.79101678,-0.00011492,-2.21826751,-0.00097586,1.58862123,0.78542897,0.00139774,0.00068254,0.00803507,0.36060093,-0.00108404,0.07463043,-0.00032786,0.09224891,-2.10132963,-0.35633911,0.60291315,0.69535859,0.19331087,-0.05693662,1.76516866,3.32761222,1.64394818,-2.74750776,0.85025184,0.06409878,-0.02191656,0.21512696,2.10132963
0.02601629,-0.00021414,-0.79101469,-0.00011071,-2.21792197,-0.00097803,1.58869530,0.78542973,0.00321314,0.00060012,0.00603551,0.35659513,-0.00173907,0.07461619,0.00002597,0.08749524,-2.15061355,-0.37205750,0.61173755,0.69451148,0.19190920,-0.05697232,1.81951956,3.46864371,1.76401791,-2.81712729,0.85774332,0.05316040,-0.02399661,0.21509993,2.15061355
0.02701691,-0.00021647,-0.79101027,-0.00009058,-2.21757509,-0.00097648,1.58876933,0.78542594,0.00133924,0.00211060,0.01028415,0.35308041,-0.00111213,0.07454658,-0.00120340,0.08283419,-2.18588335,-0.38695112,0.61770902,0.69357085,0.19061127,-0.05705875,1.92850487,3.58730864,1.79716554,-2.89372713,0.85622358,0.04262125,-0.01474682,0.21507279,2.18588335
0.02801754,-0.00020781,-0.79100448,-0.00008585,-2.21722415,-0.00097722,1.58884482,0.78543200,0.00406128,0.00304727,0.00876609,0.35152600,-0.00100797,0.07394441,0.00120607,0.07835652,-2.20944439,-0.40120711,0.62213173,0.69256527,0.18952988,-0.05716652,1.97174527,3.71253510,1.91040969,-2.99811548,0.85842811,0.03566887,-0.03144983,0.21504532,2.20944439
0.02901817,-0.00020182,-0.79099591,-0.00007213,-2.21688674,-0.00097798,1.58891723,0.78543048,0.00431967,0.00451512,0.01023707,0.34742513,-0.00030620,0.07394590,-0.00043497,0.07409561,-2.22334739,-0.41438340,0.62578407,0.69149940,0.18873776,-0.05727340,2.05111404,3.83094801,1.98198123,-3.06531936,0.85654185,0.02470597,-0.01940702,0.21501889,2.22334739
0.03001879,-0.00019905,-0.79099313,-0.00006790,-2.21655115,-0.00097798,1.58898694,0.78543048,0.00412009,0.00424193,0.00842315,0.34386798,0.00007073,0.07290284,-0.00013862,0.07078017,-2.22919663,-0.42476817,0.62982397,0.69045331,0.18837050,-0.05738736,2.13761300,3.97338514,2.09983120,-3.13993289,0.85688932,0.02112931,-0.02098500,0.21499259,2.22919663
0.03101942,-0.00018699,-0.79098058,-0.00005544,-2.21620920,-0.00097798,1.58906200,0.78542518,0.00695488,0.00658118,0.00924458,0.34372860,-0.00011457,0.07305070,-0.00177993,0.06908642,-2.22753043,-0.43096965,0.63418972,0.68947422,0.18843738,-0.05752222,2.18174898,4.07725017,2.18004890,-3.26290377,0.86125627,0.00891815,-0.00871782,0.21496578,2.22753043
0.03202004,-0.00017879,-0.79097561,-0.00004573,-2.21587848,-0.00097722,1.58913110,0.78543124,0.00732259,0.00598986,0.00944088,0.34152621,0.00036999,0.07176488,0.00080413,0.06867699,-2.21786814,-0.43337572,0.63715837,0.68848393,0.18875085,-0.05766423,2.26168004,4.22258752,2.26952821,-3.35581070,0.86093514,0.00700941,-0.02657891,0.21493984,2.21786814
0.03302067,-0.00016661,-0.79096319,-0.00003026,-2.21554455,-0.00097722,1.58919667,0.78542973,0.00876897,0.00815270,0.01108046,0.33941746,0.00065470,0.07000861,0.00020382,0.06902886,-2.20026861,-0.43334782,0.63782737,0.68741453,0.18918040,-0.05779234,2.32702223,4.32934556,2.33834226,-3.45028894,0.86210897,0.00862401,-0.02176104,0.21491364,2.20026861
0.03402130,-0.00015499,-0.79095349,-0.00001771,-2.21521511,-0.00097570,1.58926410,0.78542973,0.00963940,0.00866630,0.01127227,0.33675322,0.00107908,0.06988518,0.00034986,0.06993167,-2.17655743,-0.43184986,0.63668594,0.68626244,0.18969508,-0.05791333,2.40114011,4.45875204,2.42744614,-3.53639393,0.86226015,-0.00131517,-0.02222695,0.21488777,2.17655743
0.03502192,-0.00013383,-0.79094373,-0.00000104,-2.21488814,-0.00097890,1.58933044,0.78542670,0.01301822,0.00816034,0.01270644,0.33391364,-0.00029739,0.06942928,-0.00066513,0.07102031,-2.14727310,-0.42964141,0.63364675,0.68500739,0.19022181,-0.05804482,2.44002298,4.60172831,2.49854595,-3.61966877,0.87530907,-0.00889649,-0.01439870,0.21486209,2.14727310
0.03602255,-0.00012100,-0.79093486,0.00002027,-2.21456112,-0.00098072,1.58939346,0.78543124,0.01257818,0.00800516,0.01530598,0.33257279,-0.00110917,0.06822097,0.00156201,0.07173735,-2.11050200,-0.42800329,0.62723786,0.68358109,0.19059573,-0.05818679,2.53441756,4.73930589,2.55372256,-3.72392863,0.88440453,-0.01108160,-0.02962411,0.21483639,2.11050200
0.03702318,-0.00010660,-0.79092579,0.00003412,-2.21424208,-0.00097956,1.58945701,0.78543276,0.01360878,0.00822353,0.01494725,0.32930773,-0.00071553,0.06633094,0.00253072,0.07239919,-2.06536107,-0.42708903,0.61621035,0.68198093,0.19066456,-0.05833160,2.60832128,4.87243694,2.65012758,-3.80033068,0.88490754,-0.00847299,-0.03588271,0.21481131,2.06536107
