t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
9.999330431871438635e-03,7.706793859932336010e-01,-9.756266482916767235e-02,4.750667043945088208e-01,2.012765353559690246e-02,3.655210601805987392e-02,-3.811070594753845214e-02,-1.071193472038092787e-02,2.638120361709881886e-02,2.347346802784828004e-02,2.012765353559690246e-02,3.655210601805987392e-02,-3.811070594753845214e-02
1.099926347505858319e-02,7.706826161020299271e-01,-9.757655324902982097e-02,4.750593577269771606e-01,2.673067185119634009e-02,4.377845643248609586e-02,-4.699437482879400413e-02,-1.267755870298666737e-02,3.363951757603685783e-02,2.829161890802449689e-02,2.673067185119634009e-02,4.377845643248609586e-02,-4.699437482879400413e-02
1.199919651824572775e-02,7.706864704771863028e-01,-9.759331733856164981e-02,4.750505496031505182e-01,3.509057976602025786e-02,5.147957472408610374e-02,-5.714198201707455793e-02,-1.469556828452519420e-02,4.240471282225653782e-02,3.351592907992771014e-02,3.509057976602025786e-02,5.147957472408610374e-02,-5.714198201707455793e-02
1.299912956143287057e-02,7.706909982392515790e-01,-9.761325892464614573e-02,4.750401484907726957e-01,4.520725371444108548e-02,5.965525595697613453e-02,-6.855413377630950600e-02,-1.676576444635611424e-02,5.267700307940478138e-02,3.914645693522009889e-02,4.520725371444108548e-02,5.965525595697613453e-02,-6.855413377630950600e-02
1.399906260462001513e-02,7.706962483096770899e-01,-9.763667998329139674e-02,4.750280228915139125e-01,5.708057127909721418e-02,6.830527017801157896e-02,-8.123148826948556334e-02,-1.888791704919974557e-02,6.445661555223745898e-02,4.518329480658993258e-02,5.708057127909721418e-02,6.830527017801157896e-02,-8.123148826948556334e-02
1.499899564780715795e-02,7.707022693778038391e-01,-9.766388265207391617e-02,4.750140413459916222e-01,7.071041404791300611e-02,7.742936201670144736e-02,-9.517475312806567000e-02,-2.106176300923172720e-02,7.774378910544643695e-02,5.162657450468192966e-02,7.071041404791300611e-02,7.742936201670144736e-02,-9.517475312806567000e-02
1.599892869099430251e-02,7.707091098652483208e-01,-9.769516924218926701e-02,4.749980724388344067e-01,8.609667046169530713e-02,8.702725029466117090e-02,-1.103846830069219187e-01,-2.328700447491057618e-02,9.253877242583426199e-02,5.847647286740161737e-02,8.609667046169530713e-02,8.702725029466117090e-02,-1.103846830069219187e-01
1.699886173418144533e-02,7.707168178723371454e-01,-9.773084233666776144e-02,4.749799848064935603e-01,1.031693652300717107e-01,9.711181686893252674e-02,-1.268363426657337367e-01,-2.557162974276010886e-02,1.087913775502822589e-01,6.573647315809594271e-02,1.031693652300717107e-01,9.711181686893252674e-02,-1.268363426657337367e-01
1.799879477736859162e-02,7.707254422830878138e-01,-9.777119833804401305e-02,4.749596469403588039e-01,1.217728591783434483e-01,1.077120858281548355e-01,-1.444733289312927493e-01,-2.793379445110260803e-02,1.263895973330425304e-01,7.341408967876943137e-02,1.217728591783434483e-01,1.077120858281548355e-01,-1.444733289312927493e-01
1.899872782055573445e-02,7.707350244607191758e-01,-9.781647739491780569e-02,4.749369491022232270e-01,1.409273694142361144e-01,1.186097395786461506e-01,-1.626286332666585788e-01,-3.035899974668533272e-02,1.445078481335202447e-01,8.131141582372715393e-02,1.409273694142361144e-01,1.186097395786461506e-01,-1.626286332666585788e-01
1.999866086374287727e-02,7.707455708890288415e-01,-9.786672768752872897e-02,4.749118695254743727e-01,1.600812294109925094e-01,1.295053297593219965e-01,-1.807923046538806866e-01,-3.278172235679336494e-02,1.626293686466752098e-01,8.921028853837074946e-02,1.600812294109925094e-01,1.295053297593219965e-01,-1.807923046538806866e-01
2.099859390693002356e-02,7.707570787512835198e-01,-9.792195132559863846e-02,4.748844086192018366e-01,1.792337519671479418e-01,1.403983060373923675e-01,-1.989643095862311806e-01,-3.520165264724446630e-02,1.807537307390057191e-01,9.711065188204885679e-02,1.792337519671479418e-01,1.403983060373923675e-01,-1.989643095862311806e-01
2.199852695011716638e-02,7.707695449538058963e-01,-9.798215052102511591e-02,4.748545668579253753e-01,1.983848910227807849e-01,1.512884833266931739e-01,-2.171452208833452302e-01,-3.761856225508687646e-02,1.988811119487823575e-01,1.050127144542791213e-01,1.983848910227807849e-01,1.512884833266931739e-01,-2.171452208833452302e-01
2.299845999330430921e-02,7.707829661366758511e-01,-9.804732764313635329e-02,4.748223447552110676e-01,2.175346001036330967e-01,1.621756766658906390e-01,-2.353356107605083791e-01,-4.003222260799425142e-02,2.170116891528445224e-01,1.129166850860104238e-01,2.175346001036330967e-01,1.621756766658906390e-01,-2.353356107605083791e-01
2.399839303649145550e-02,7.707973386735428312e-01,-9.811748521854486704e-02,4.747877428639089015e-01,2.366828322875614843e-01,1.730597012391546785e-01,-2.535360507750095693e-01,-4.244240491639365148e-02,2.351456385075562650e-01,1.208227728684796720e-01,2.366828322875614843e-01,1.730597012391546785e-01,-2.535360507750095693e-01
2.499832607967859832e-02,7.708126586714271200e-01,-9.819262593098884717e-02,4.747507617764087362e-01,2.558295401711028205e-01,1.839403723969333104e-01,-2.717471117724312157e-01,-4.484888016567383645e-02,2.532831353897234683e-01,1.287311871820583931e-01,2.558295401711028205e-01,1.839403723969333104e-01,-2.717471117724312157e-01
2.599825912286574114e-02,7.708289219705062312e-01,-9.827275262116096088e-02,4.747114021249175253e-01,2.749746758361631405e-01,1.948175056768308155e-01,-2.899693638328700307e-01,-4.725141910847942273e-02,2.714243543374695311e-01,1.366421377250853220e-01,2.749746758361631405e-01,1.948175056768308155e-01,-2.899693638328700307e-01
2.699819216605288397e-02,7.708461241438886447e-01,-9.835786828652461067e-02,4.746696645817553573e-01,2.941181908168393755e-01,2.056909168245962261e-01,-3.082033762170819924e-01,-4.964979225709620358e-02,2.895694689910662256e-01,1.445558345426845859e-01,2.941181908168393755e-01,2.056909168245962261e-01,-3.082033762170819924e-01
2.799812520924003026e-02,7.708642604973743317e-01,-9.844797608111789666e-02,4.746255498596710365e-01,3.132600360663831962e-01,2.165604218152275551e-01,-3.264497173125465168e-01,-5.204376987593458542e-02,3.077186520337152897e-01,1.524724880555660134e-01,3.132600360663831962e-01,2.165604218152275551e-01,-3.264497173125465168e-01
2.899805825242717308e-02,7.708833260692021794e-01,-9.854307931534507514e-02,4.745790587121782034e-01,3.324001619243165950e-01,2.274258368741965131e-01,-3.447089545794417287e-01,-5.443312197411696862e-02,3.258720751322796150e-01,1.603923090888071112e-01,3.324001619243165950e-01,2.274258368741965131e-01,-3.447089545794417287e-01
