t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
1.300000000000000044e-01,-4.722007542441570769e-07,-9.958648312872486752e-01,6.065342371328727180e-07,-2.697005670736603022e-01,2.111744508777606027e-06,3.135273451257727828e+00,2.844235194336709778e-06,-1.058768342757498502e-05,9.271873637792989176e-02,1.359970824491332200e-05,6.713883879647349236e-03,4.734952694992183170e-05,-1.059786570402334038e-01,6.377343017888014852e-05,-1.534804882235428936e-04,1.344063318864646028e+00,1.971432065763146406e-04,9.732536704305910780e-02,6.863851344951195452e-04,-1.536280918774687754e+00,9.244682528051747020e-04
1.400000000000000133e-01,-5.859115899816011548e-07,-9.948690398023432024e-01,7.525939678466668521e-07,-2.696284605215309993e-01,2.620274473625774147e-06,3.134135249332366868e+00,3.529156508152846900e-06,-1.217035079989565975e-05,1.065785122082091169e-01,1.563261890563890543e-05,7.717488212035417648e-03,5.442742570946415288e-05,-1.218205514269790624e-01,7.330640572121764164e-05,-1.630007856676065259e-04,1.427434714977288799e+00,2.093718747764663774e-04,1.033623978984278824e-01,7.289611695156728499e-04,-1.631575450826683982e+00,9.818124328124745379e-04
1.499999999999999944e-01,-7.159199066208985472e-07,-9.937305275942786009e-01,9.195875493795174470e-07,-2.695460193768485779e-01,3.201688938322922930e-06,3.132833915863554530e+00,4.312243418579008572e-06,-1.384666007496435351e-05,1.212583313420318304e-01,1.778581107700683331e-05,8.780472942942204456e-03,6.192410349920125995e-05,-1.385997654043426841e-01,8.340342016664179577e-05,-1.722093633228436707e-04,1.508076310456800240e+00,2.212001439458758723e-04,1.092017603516872160e-01,7.701431522260272907e-04,-1.723749787151382495e+00,1.037279012273433030e-03
1.600000000000000033e-01,-8.631465866550591238e-07,-9.924412302869627389e-01,1.108697840410421842e-06,-2.694526596876873903e-01,3.860106211724690347e-06,3.131360233170145335e+00,5.199042732503846653e-06,-1.561350889138367443e-05,1.367310256995700746e-01,2.005529982594242132e-05,9.900870796493127513e-03,6.982568614678950837e-05,-1.562852455226440007e-01,9.404578687521674384e-05,-1.811091884874247685e-04,1.586014090603808269e+00,2.326318255310857270e-04,1.148453360321367439e-01,8.099443527778313031e-04,-1.812833629267278424e+00,1.090885864293530613e-03
1.700000000000000122e-01,-1.028481637328024273e-06,-9.909933538858367585e-01,1.321068040859953635e-06,-2.693478170807991900e-01,4.599506524470847954e-06,3.129705292620415413e+00,6.194915284071905196e-06,-1.746782456073790293e-05,1.529696870540018239e-01,2.243713833383636870e-05,1.107673331310657719e-02,7.811843218140158724e-05,-1.748462353473873021e-01,1.052149979380611927e-04,-1.897032284595200969e-04,1.661274040718940137e+00,2.436707309786382994e-04,1.202950065690760462e-01,8.483780413227329968e-04,-1.898856678692865341e+00,1.142650861978246855e-03
1.799999999999999933e-01,-1.212784487364488239e-06,-9.893793721793450180e-01,1.557802073034922681e-06,-2.692309465734500362e-01,5.423733356000483371e-06,3.127860491661909048e+00,7.305037721994203522e-06,-1.940656406759301881e-05,1.699476670315113180e-01,2.492741789654479560e-05,1.230613084949394066e-02,8.678873283372662772e-05,-1.942522754592618528e-01,1.168927241773486266e-04,-1.979944505372999337e-04,1.733882146102821542e+00,2.543206717350759202e-04,1.255526535918046194e-01,8.854574880123798316e-04,-1.981848636946635711e+00,1.192591878433060673e-03
1.900000000000000022e-01,-1.416884283699715274e-06,-9.875920241404048117e-01,1.819964962773029055e-06,-2.691015223852574190e-01,6.336494761567163279e-06,3.125817530851288328e+00,8.534404296858776525e-06,-2.142671406949675039e-05,1.876385771112895062e-01,2.752226792438931076e-05,1.358715257865963227e-02,9.582311203597048766e-05,-2.144732034541422805e-01,1.290608151463076456e-04,-2.059858220189348548e-04,1.803864392056082400e+00,2.645854592469412724e-04,1.306201587296221822e-01,9.211959629984207846e-04,-2.061839205547085996e+00,1.240726786763453370e-03
2.000000000000000111e-01,-1.641580188209352034e-06,-9.856243113278768675e-01,2.108583220587511932e-06,-2.689590377500273299e-01,7.341364699254084136e-06,3.123568410884181024e+00,9.887828648441200998e-06,-2.352529089697847457e-05,2.060162886255330617e-01,3.021785594215686249e-05,1.491790648990101720e-02,1.052082264218552230e-04,-2.354791539430875491e-01,1.417012991292212749e-04,-2.136803102025950024e-04,1.871246763879347741e+00,2.744689049607766055e-04,1.354994036118282175e-01,9.556067364325032069e-04,-2.138858086012708437e+00,1.287073460074903211e-03
2.099999999999999922e-01,-1.887641674439250023e-06,-9.834694952880345120e-01,2.424645222811810328e-06,-2.688030047275912215e-01,8.441784356989251272e-06,3.121105429625027128e+00,1.136994559301516854e-05,-2.569934055354930149e-05,2.250549327594451865e-01,3.301038758909987758e-05,1.629651938880848777e-02,1.149308653266195080e-04,-2.572405585523419580e-01,1.547963831414274794e-04,-2.210808823864507898e-04,1.936055246873245483e+00,2.839748203231243586e-04,1.401922698677223467e-01,9.887030784662752085e-04,-2.212934979861997054e+00,1.331649771472890199e-03
2.200000000000000011e-01,-2.155808824335280629e-06,-9.811210949560342787e-01,2.769101592744214309e-06,-2.686329540156433549e-01,9.641063479560646113e-06,3.118421179136929844e+00,1.298521291066303307e-05,-2.794593871570204749e-05,2.447289005512355009e-01,3.589610661893620367e-05,1.772113689726542360e-02,1.249779507870185267e-04,-2.797281459233347256e-01,1.683284529293191368e-04,-2.281905058686725760e-04,1.998315826338402434e+00,2.931070167805269709e-04,1.447006391266041081e-01,1.020498259251385008e-03,-2.284099588613445420e+00,1.374473594062894117e-03
