t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
2.499063268927087522e-02,-9.754461775429714657e-04,-1.569512276911228410e+00,-6.502974516953145996e-04,-1.008128718146191483e-01,9.754461775429714657e-04,3.138699405096609496e+00,1.300594903390629199e-03,-1.169156942034376978e-01,5.845784710171884890e-02,-7.794379613562517350e-02,-9.742974516953142872e-02,1.169156942034376978e-01,-1.558875922712503470e-01,1.558875922712503470e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-7.500000000000000000e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
2.599025799684170912e-02,-1.096816346616265227e-03,-1.569451591826692027e+00,-7.312108977441772158e-04,-1.009140136221802209e-01,1.096816346616265227e-03,3.138537578204511735e+00,1.462421795488354432e-03,-1.259123219715752029e-01,6.295616098578760145e-02,-8.394154798105017690e-02,-1.049269349763126830e-01,1.259123219715752029e-01,-1.678830959621003538e-01,1.678830959621003538e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-7.500000000000000000e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
2.698988330441254302e-02,-1.227179771225834180e-03,-1.569386410114387287e+00,-8.181198474838898872e-04,-1.010226498093548669e-01,1.227179771225834180e-03,3.138363760305032724e+00,1.636239694967779774e-03,-1.349089497397127080e-01,6.745447486985635399e-02,-8.993929982647518029e-02,-1.124241247830939372e-01,1.349089497397127080e-01,-1.798785996529503606e-01,1.798785996529503606e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-7.500000000000000000e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
2.798950861198338039e-02,-1.366536451371678541e-03,-1.569316731774314411e+00,-9.110243009144527223e-04,-1.011387803761430726e-01,1.366536451371678541e-03,3.138177951398171128e+00,1.822048601828905445e-03,-1.439055775078502408e-01,7.195278875392512041e-02,-9.593705167190019756e-02,-1.199213145898752192e-01,1.439055775078502408e-01,-1.918741033438003951e-01,1.918741033438003951e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-7.500000000000000000e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
2.898913391955421429e-02,-1.514886387053797443e-03,-1.569242556806473177e+00,-1.009924258035865396e-03,-1.012632500344707309e-01,1.514886387053797443e-03,3.137980151483928282e+00,2.019848516071730792e-03,-1.529022052759877459e-01,7.645110263799387296e-02,-1.019348035173252009e-01,-1.273282992945484471e-01,1.529022052759877459e-01,-2.038696070346504019e-01,2.038696070346504019e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-7.319589795783932651e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
2.998875922712504818e-02,-1.672229578272191319e-03,-1.569163885210864029e+00,-1.114819718848128124e-03,-1.013941358462577963e-01,1.672229578272191319e-03,3.137770360562304184e+00,2.229639437696256249e-03,-1.618988330441252510e-01,8.094941652206262550e-02,-1.079325553627502043e-01,-1.344890045341897988e-01,1.618988330441252510e-01,-2.158651107255004087e-01,2.158651107255004087e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-7.007206887168046627e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.098838453469588555e-02,-1.838566025026860820e-03,-1.569080716987486523e+00,-1.225710683351241125e-03,-1.015320235958197398e-01,1.838566025026860820e-03,3.137548578633297502e+00,2.451421366702482250e-03,-1.708954608122628116e-01,8.544773040613140580e-02,-1.139303072081752355e-01,-1.413374439565994456e-01,1.708954608122628116e-01,-2.278606144163504710e-01,2.278606144163504710e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-6.694823978552159716e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.198800984226671945e-02,-2.013895727317804862e-03,-1.568993052136341326e+00,-1.342597151545203531e-03,-1.016766011344307219e-01,2.013895727317804862e-03,3.137314805696909570e+00,2.685194303090407061e-03,-1.798920885804002889e-01,8.994604429020014447e-02,-1.199280590536002389e-01,-1.478736175617772486e-01,1.798920885804002889e-01,-2.398561181072004778e-01,2.398561181072004778e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-6.382441069936274580e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.298763514983755335e-02,-2.198218685145024096e-03,-1.568900890657427549e+00,-1.465479123430016208e-03,-1.018275563133648892e-01,2.198218685145024096e-03,3.137069041753139942e+00,2.930958246860032416e-03,-1.888887163485378218e-01,9.444435817426891089e-02,-1.259258108990252423e-01,-1.540975253497232911e-01,1.888887163485378218e-01,-2.518516217980504845e-01,2.518516217980504845e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-6.070058161320388557e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.398726045740838725e-02,-2.391534898508518303e-03,-1.568804232550745859e+00,-1.594356599005678941e-03,-1.019845769838964022e-01,2.391534898508518303e-03,3.136811286801989063e+00,3.188713198011357882e-03,-1.978853441166752991e-01,9.894267205833764955e-02,-1.319235627444502457e-01,-1.600091673204375731e-01,1.978853441166752991e-01,-2.638471254889004913e-01,2.638471254889004913e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-5.757675252704503421e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
