t,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,u1,u2,u3,u4,u5,u6,u7
1.700000000000000122e-01,7.021367864124602491e-12,-1.554812363138798448e+00,-1.649021246748850219e-11,-7.000000000000000666e-02,8.859821954759790732e-12,3.145179543754935025e+00,5.621192153736058809e-12,1.172765209245201917e-10,2.536760993890460614e-01,-2.754327625211689486e-10,-2.798814302175778312e-01,1.479838565607550095e-10,8.651289653384751366e-02,9.388966252668581010e-11,1.172765209245201917e-10,2.536760993890460614e-01,-2.754327625211689486e-10,-2.798814302175778312e-01,1.479838565607550095e-10,8.651289653384751366e-02,9.388966252668581010e-11
1.799999999999999933e-01,8.256247119051904199e-12,-1.552141245764775856e+00,-1.939041961793438423e-11,-7.000000000000000666e-02,1.041803832313780374e-11,3.146090493196231019e+00,6.609816267005506247e-12,1.297740620955643446e-10,2.807090252571738387e-01,-3.047841813927960808e-10,-3.097069201756754153e-01,1.637537167632778628e-10,9.573212027731026197e-02,1.038949893705635959e-10,1.297740620955643446e-10,2.807090252571738387e-01,-3.047841813927960808e-10,-3.097069201756754153e-01,1.637537167632778628e-10,9.573212027731026197e-02,1.038949893705635959e-10
1.900000000000000022e-01,9.618297327735318257e-12,-1.549195050043867372e+00,-2.258929735333086525e-11,-7.000000000000000666e-02,1.213672370978973760e-11,3.147095254489018501e+00,7.700251363728690376e-12,1.427060835219061548e-10,3.086817577938196777e-01,-3.351560099426277025e-10,-3.405693010160688039e-01,1.800718202396596548e-10,1.052718527217154365e-01,1.142481539932467298e-10,1.427060835219061548e-10,3.086817577938196777e-01,-3.351560099426277025e-10,-3.405693010160688039e-01,1.800718202396596548e-10,1.052718527217154365e-01,1.142481539932467298e-10
2.000000000000000111e-01,1.111172513538620010e-11,-1.545964676751946154e+00,-2.609672529751378803e-11,-7.000000000000000666e-02,1.402118621540490462e-11,3.148196930803983662e+00,8.895865215187962379e-12,1.560450224625681637e-10,3.375346771486972264e-01,-3.664835149927845590e-10,-3.724027940193291308e-01,1.969033873027552486e-10,1.151117613014346064e-01,1.249270901155833321e-10,1.560450224625681637e-10,3.375346771486972264e-01,-3.664835149927845590e-10,-3.724027940193291308e-01,1.969033873027552486e-10,1.151117613014346064e-01,1.249270901155833321e-10
2.099999999999999922e-01,1.274046362162648735e-11,-1.542441618403547876e+00,-2.992194058488094864e-11,-7.000000000000000666e-02,1.607638874548243266e-11,3.149398423507126399e+00,1.019980658053377527e-11,1.697637285406422988e-10,3.672090554395613382e-01,-3.987029318335333556e-10,-4.051426045764410788e-01,2.142141586016710528e-10,1.252318176448057874e-01,1.359100615903439934e-10,1.697637285406422988e-10,3.672090554395613382e-01,-3.987029318335333556e-10,-4.051426045764410788e-01,2.142141586016710528e-10,1.252318176448057874e-01,1.359100615903439934e-10
2.200000000000000011e-01,1.450817642412939083e-11,-1.538617950332189954e+00,-3.407354754507355718e-11,-7.000000000000000666e-02,1.830695421369377679e-11,3.150702435201700347e+00,1.161500850810390476e-11,1.838354637432897191e-10,3.976470567522075172e-01,-4.317514642232863949e-10,-4.387249221888026018e-01,2.319703951217647633e-10,1.356122975741332615e-01,1.471756624022215288e-10,1.838354637432897191e-10,3.976470567522075172e-01,-4.317514642232863949e-10,-4.387249221888026018e-01,2.319703951217647633e-10,1.356122975741332615e-01,1.471756624022215288e-10
2.300000000000000100e-01,1.641826186226007019e-11,-1.534486321770692552e+00,-3.855952738765766302e-11,-7.000000000000000666e-02,2.071717074524522114e-11,3.152111472770150691e+00,1.314419163674266212e-11,1.982339024217407629e-10,4.287917371404723066e-01,-4.655672843886017846e-10,-4.730869204682246476e-01,2.501388781846455442e-10,1.462337811056876324e-01,1.587028166678312232e-10,1.982339024217407629e-10,4.287917371404723066e-01,-4.655672843886017846e-10,-4.730869204682246476e-01,2.501388781846455442e-10,1.462337811056876324e-01,1.587028166678312232e-10
2.399999999999999911e-01,1.847385706071632569e-11,-1.530039946931496475e+00,-4.338724788680558645e-11,-7.000000000000000666e-02,2.331099688024037916e-11,3.153627850416056422e+00,1.478986749712010854e-11,2.129331312912949740e-10,4.605870446262330109e-01,-5.000895330241830231e-10,-5.081667571369313796e-01,2.686869094481737172e-10,1.570771524497057980e-01,1.704707786357105866e-10,2.129331312912949740e-10,4.605870446262330109e-01,-5.000895330241830231e-10,-5.081667571369313796e-01,2.686869094481737172e-10,1.570771524497057980e-01,1.704707786357105866e-10
2.500000000000000000e-01,2.067784207316930941e-11,-1.525272596086983956e+00,-4.856347306597745701e-11,-7.000000000000000666e-02,2.609206677704275046e-11,3.155253692706067703e+00,1.655434181305130998e-11,2.279076494313213860e-10,4.929778191994083625e-01,-5.352583192928801374e-10,-5.439035740275609543e-01,2.875823109064614858e-10,1.681236000103911166e-01,1.824591326863197148e-10,2.279076494313213860e-10,4.929778191994083625e-01,-5.352583192928801374e-10,-5.439035740275609543e-01,2.875823109064614858e-10,1.681236000103911166e-01,1.824591326863197148e-10
2.600000000000000089e-01,2.303284400590422833e-11,-1.520178586649797881e+00,-5.409437288260265811e-11,-7.000000000000000666e-02,2.906369541563821623e-11,3.156990937611847681e+00,1.843971780281555322e-11,2.431323682852581860e-10,5.259097928179576886e-01,-5.710147208256883902e-10,-5.802374970831640777e-01,3.067934248898721597e-10,1.793546163859132681e-01,1.946477933320409029e-10,2.431323682852581860e-10,5.259097928179576886e-01,-5.710147208256883902e-10,-5.802374970831640777e-01,3.067934248898721597e-10,1.793546163859132681e-01,1.946477933320409029e-10
